Protein.ID	HRD
jg154936.t1	udp arabinopyranose mutase
jg154937.t1	cobra
jg154938.t1	cobra
jg71728.t1	transcription initiation factor iia subunit
jg71727.t1	cdp diacylglycerol glycerol phosphate phosphatidyltransferase
jg86704.t1	gsh induced litaf
jg86702.t1	leucine rich repeat
jg86700.t1	at2g33490 isoform
jg86681.t1	nac transcription factor
jg208703.t1	bidirectional sugar transporter sweet
jg208699.t1	bidirectional sugar transporter sweet
jg208690.t1	bidirectional sugar transporter sweet
jg208682.t1	f box fbd lrr repeat
jg208678.t1	phosphoribosylformylglycinamidine cyclo ligase
jg208677.t1	phosphoribosylformylglycinamidine cyclo ligase
jg208675.t1	auxin responsive
jg208661.t1	pa signal peptide peptidase
jg208652.t1	ras rab 11a
jg208651.t1	pirin isoform
jg208645.t1	myo inositol transporter
jg208643.t1	nrt1 ptr
jg208642.t1	ring type e3 ubiquitin transferase
jg208636.t1	beta glucan synthase
jg208635.t1	transcription initiation factor tfiid subunit
jg64455.t1	high mobility group b
jg169524.t1	casein kinase i isoform
jg169519.t1	40s ribosomal s16
jg169520.t1	digalactosyldiacylglycerol synthase
jg169521.t1	40s ribosomal s16
jg169496.t1	shewanella phosphatase
jg169490.t1	dexh box atp dependent rna helicase dexh9
jg169484.t1	methyltransferase
jg186485.t1	trichome birefringence
jg186495.t1	clathrin interactor epsin
jg186536.t1	vesicle transport got1
jg31087.t1	phospholipase a1 chloroplastic
jg111624.t1	nrt1 ptr
jg111633.t1	transaldolase
jg111643.t1	peptidylprolyl isomerase
jg111660.t1	flowering locus t
jg111664.t1	flowering locus t
jg111670.t1	flowering locus t
jg111686.t1	flowering locus t
jg111692.t1	elmo a isoform
jg33824.t1	g type lectin s receptor serine threonine kinase
jg4328.t1	heparan alpha glucosaminide n acetyltransferase
jg4329.t1	glycine trna ligase
jg6799.t1	t complex subunit zeta
jg59222.t1	carboxylesterase
jg59218.t1	heat repeat 5b
jg59214.t1	nadph dependent diflavin oxidoreductase
jg59212.t1	ubiquitin receptor rad23
jg145605.t1	cytochrome p450
jg3719.t1	lob
jg202375.t1	50s ribosomal l2
jg202373.t1	ribulose bisphosphate carboxylase small
jg95313.t1	ribulose bisphosphate carboxylase small
jg95312.t2	ribulose bisphosphate carboxylase small
jg95310.t2	ribulose bisphosphate carboxylase small
jg95309.t1	ribulose bisphosphate carboxylase small
jg95306.t1	caffeoylshikimate esterase isoform
jg95305.t1	aba deficient chloroplastic isoform
jg95298.t1	mannose phosphate isomerase
jg95292.t1	60s ribosomal l19
jg95291.t1	bidirectional sugar transporter sweet
jg95281.t1	pentatricopeptide repeat at4g19890
jg95280.t1	bifunctional th2 mitochondrial isoform
jg187244.t1	pentatricopeptide repeat chloroplastic mitochondrial
jg187261.t1	s
jg187272.t1	s
jg119554.t1	palmitoyl thioesterase
jg119540.t1	v type proton atpase subunit g
jg119532.t2	f box
jg117069.t1	cationic amino acid transporter chloroplastic
jg31044.t1	aatf bfr2
jg31067.t1	serine threonine phosphatase long form
